model,policy,policy_label,review_budget,reviewer_success,seed,tasks,reviewed_tasks,actual_review_rate,simulation,team_success_rate,selective_accuracy,autonomous_coverage,autonomous_failure_rate,failure_capture_rate,deferral_precision,unnecessary_review_rate,errors_prevented_per_review,reviews_per_prevented_failure
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.6,20260809,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.6,20260810,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.6,20260811,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.6,20260812,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.6,20260813,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.75,20260809,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.75,20260810,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.75,20260811,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.75,20260812,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
gpt-4o-mini,always_autonomous,Always autonomous,0.0,0.75,20260813,120,0,0.0,True,0.30833333333333335,0.30833333333333335,1.0,0.6916666666666667,0.0,0.0,0.0,0.0,inf
