task_id,repository,language,model,method,selected_exact_match,selected_edit_similarity,selected_identifier_f1,candidate_exact_match,candidate_edit_similarity,candidate_identifier_f1,aggregate_risk,candidate_disagreement,retrieval_score_dispersion,evidence_count,prompt_tokens,completion_tokens,total_tokens,provider_requests,latency_seconds
project_cc_csharp/3173,gittromney-Playnite-NowPlaying-23eec41,csharp,gpt-4o-mini,Direct Generation,0.0,0.66,0.4,0.0,0.6960000000000001,0.4,0.3564102564102564,0.0692307692307692,0.0,0,1143,392,1535,1,4.45822158298688
project_cc_csharp/3173,gittromney-Playnite-NowPlaying-23eec41,csharp,gpt-4o-mini,Cross-file Context RAG,0.0,0.52,0.0,0.0,0.532,0.0,0.17184452762692634,0.18531959953792831,0.3302139833428507,5,1563,509,2072,1,2.9537185409863014
project_cc_csharp/3343,Woltvint-WAGI-d808927,csharp,gpt-4o-mini,Direct Generation,0.0,0.26,0.0,0.0,0.17200000000000001,0.0,0.40229885057471265,0.2068965517241379,0.0,0,111,81,192,1,2.091509000019869
project_cc_csharp/3343,Woltvint-WAGI-d808927,csharp,gpt-4o-mini,Cross-file Context RAG,0.0,0.55,0.0,0.0,0.48200000000000004,0.0,0.177824572815896,0.1483870967741936,0.38508662167349444,5,563,265,828,1,4.23793041598401
project_cc_csharp/3884,briandunnington-CloudDistributedLock-04f72e6,csharp,gpt-4o-mini,Direct Generation,0.0,0.44,0.0,0.0,0.414,0.0,0.38180735016821316,0.14542205050463952,0.0,0,75,148,223,1,1.6649771670054179
project_cc_csharp/3884,briandunnington-CloudDistributedLock-04f72e6,csharp,gpt-4o-mini,Cross-file Context RAG,0.0,0.76,0.5714285714285714,0.0,0.76,0.5714285714285714,0.12240646743859451,0.0,0.36721940231578354,5,457,129,586,1,2.22718933300348
project_cc_csharp/4389,Immersive-Plugins-Team-CalloutInterfaceAPI-2c5a303,csharp,gpt-4o-mini,Direct Generation,0.0,0.23,0.0,0.0,0.37,0.06666666666666667,0.47910118555279846,0.4373035566583954,0.0,0,107,506,613,1,3.6775579160021152
project_cc_csharp/4389,Immersive-Plugins-Team-CalloutInterfaceAPI-2c5a303,csharp,gpt-4o-mini,Cross-file Context RAG,1.0,1.0,1.0,1.0,0.976,1.0,0.1412624157190799,0.0,0.4237872471572397,5,573,640,1213,1,3.5535361249931157
project_cc_csharp/741,pliniobrunelli-JWLSLMerge-7fe66dc,csharp,gpt-4o-mini,Direct Generation,0.0,0.71,0.0,0.0,0.658,0.0,0.3632445904610853,0.08973377138325589,0.0,0,81,195,276,1,2.1187954589840956
project_cc_csharp/741,pliniobrunelli-JWLSLMerge-7fe66dc,csharp,gpt-4o-mini,Cross-file Context RAG,0.0,0.9,0.5,0.0,0.882,0.5,0.1314853231242592,0.06400000000000006,0.33045596937277755,5,400,139,539,1,1.6887434170057531
project_cc_csharp/851,shahedbd-API.RefreshTokens-c4d606e,csharp,gpt-4o-mini,Direct Generation,0.0,0.79,0.5,0.0,0.798,0.5,0.3490196078431373,0.04705882352941182,0.0,0,114,226,340,1,1.978050457983045
